অকর্মক সকর্মক
অজ্ঞ প্রাজ্ঞ
অধিত্যকা উপত্যকা
অক্ষম সক্ষম
অতিকায় ক্ষুদ্রকায়
অনন্ত সান্ত
অগ্র পশ্চাৎ
অতিবৃষ্টি অনাবৃষ্টি
অনুকূল প্রতিকূল
অগ্রজ অনুজ
অতীত ভবিষ্যত
অনুগ্রহ নিগ্রহ
অণু বৃহৎ
অদ্য কল্য
অগ্রজ অনুজ
অচল সচল
অধঃ ঊর্ধ্ব
অনুরক্ত বিরক্ত
অচলায়তন সচলায়তন
অধম উত্তম
অনুরাগ বিরাগ
অচেতন সচেতন
অধমর্ণ উত্তমর্ণ
অনুলোম প্রতিলোম
অলীক সত্য
অশন অনশন
অস্তগামী উদীয়মান
অল্পপ্রাণ মহাপ্রাণ
অসীম সসীম
অস্তি নাস্তি/নেতি
অহিংস সহিংস
আকর্ষণ বিকর্ষণ
আধার আধেয়
আরোহণ অবরোহণ
আকুঞ্চন প্রসারণ
আপদ সম্পদ
আর্দ্র শুষ্ক
আগত অনাগত
আবশ্যক অনাবশ্যক
আর্য অনার্য
আগমন প্রস্থান
আবশ্যিক ঐচ্ছিক
আলস্য শ্রম
আজ কাল
আবাদি অনাবাদি
আলো আঁধার
আত্ম পর
আবাহন বিসর্জন
আশীর্বাদ অভিশাপ
আত্মীয় অনাত্মীয়
আবির্ভাব তিরোভাব
আসক্ত নিরাসক্ত
আদি অন্ত
আবির্ভূত তিরোহিত
আসামি ফরিয়াদী
আদিম অন্তিম
আবিল অনাবিল
আস্তিক নাস্তিক
আদ্য অন্ত্য
আবৃত উন্মুক্ত
আস্থা অনাস্থা
ইচ্ছুক অনিচ্ছুক
ইদানীন্তন তদানীন্তন
ইহকাল পরকাল
ইতর ভদ্র
ইষ্ট অনিষ্ট
ইহলোক পরলোক
ইতিবাচক নেতিবাচক
ইহলৌকিক পারলৌকিক
ঈদৃশ তাদৃশ
ঈষৎ অধিক
উক্ত অনুক্ত
উত্তরায়ণ দক্ষিণায়ন
উন্নত অবনত
উগ্র সৌম্য
উত্তাপ শৈত্য
উন্নতি অবনতি
উচ্চ নীচ
উত্তীর্ণ অনুত্তীর্ণ
উন্নীত অবনমিত
উজান ভাটি
উত্থান পতন
উন্নয়ন অবনমন
উঠতি পড়তি
উত্থিত পতিত
উন্মুখ বিমুখ
উঠন্ত পড়ন্ত
উদয় অস্ত
উন্মীলন নিমীলন
উৎকর্ষ অপকর্ষ
উদ্বৃত্ত ঘাটতি
উপচয় অপচয়
উৎরাই চড়াই
উদ্যত বিরত
উপকারী অপকারী
উত্তম অধম
উদ্যম বিরাম
উপকারিতা অপকারিতা
উত্তমর্ণ অধমর্ণ
উর্বর ঊষর
উপচিকীর্ষা অপচিকীর্ষা
উত্তর দক্ষিণ
উষ্ণ শীতল
ঊর্ধ্ব অধঃ
ঊর্ধ্বগতি অধোগতি
ঊষা সন্ধ্যা
ঊর্ধ্বতন অধস্তন
ঊর্ধ্বগামী অধোগামী
ঊষর উর্বর
ঋজু বক্র
একান্ন পৃথগান্ন
একাল সেকাল
একূল ওকূল
এখন তখন
ঐকমত্য মতভেদ
ঐশ্বর্য দারিদ্র্য
ঐহিক পারত্রিক
ঐক্য অনৈক্য
ওস্তাদ সাকরেদ
ঔদার্য কার্পণ্য
ঔচিত্য অনৌচিত্য
ঔজ্জ্বল্য ম্লানিমা
ঔদ্ধত্য বিনয়
কচি ঝুনা
কুৎসিত সুন্দর
কৃশাঙ্গী স্থূলাঙ্গী
কদাচার সদাচার
কুফল সুফল
কৃষ্ণ শুভ্র/গৌর
কনিষ্ঠ জ্যেষ্ঠ
কুবুদ্ধি সুবুদ্ধি
কৃষ্ণাঙ্গ শ্বেতাঙ্গ
কপট সরল/অকপট
কুমেরু সুমেরু
কোমল কঠিন
কপটতা সরলতা
কুরুচি সুরুচি
ক্রন্দন হাস্য
কর্মঠ অকর্মণ্য
কুলীন অন্ত্যজ
ক্রোধ প্রীতি
কল্পনা বাস্তব
কুশাসন সুশাসন
ক্ষণস্থায়ী দীর্ঘস্থায়ী
কাপুরুষ বীরপুরুষ
কুশিক্ষা সুশিক্ষা
ক্ষীপ্র মন্থর
কুটিল সরল
কৃপণ বদান্য
কুৎসা প্রশংসা
কৃশ স্থূল
খ্যাত অখ্যাত
খুচরা পাইকারি
খেদ হর্ষ
খ্যাতি অখ্যাতি
গঞ্জনা প্রশংসা
গূঢ় ব্যক্ত
গৌণ মুখ্য
গতি স্থিতি
গুপ্ত প্রকাশিত
গৌরব অগৌরব
গদ্য পদ্য
গৃহী সন্ন্যাসী
গ্রামীণ নাগরিক
গণ্য নগণ্য
গ্রহণ বর্জন
গ্রাম্য শহুরে
গরল অমৃত
গৃহীত বর্জিত
গ্রাহ্য অগ্রাহ্য
গরিমা লঘিমা
গেঁয়ো শহুরে
গরিষ্ঠ লঘিষ্ঠ
গোপন প্রকাশ
ঘাটতি বাড়তি
ঘাত প্রতিঘাত
